objectid,filename,covertitle,titlepage,textbdrcid,coverauthor,authorbdrc,authorbdrc,authorbirth,authordeath,authortol,description,subject,location,latitude,longitude,publishertib,publisherchi,publisherplacetib,publisherplacechi,publishyear,series,identifier,type,format,language,rights,access
coll001,arura-001.jpg,Bdud rtsi’i chu rgyun,Bshad pa’i rgyud kyi rgya cher ’grel ba bdud rtsi’i chu rgyun zhes bu ba bzhugs so,W15590,Byang pa rnam rgyal grags bzang,Rnam rgyal grags pa bzang po,P3893,1395,1475,https://treasuryoflives.org/biographies/view/Namgyel-Drakpa-Zangpo/TBRC_P3893,"A commentary on the Explanatory Tantra (Bshad rgyud), the second of the Four Tantras (Rgyud bzhi)",commentary;four tantras;rgyud bzhi;explanatory tantra;bshad rgyud,ngam ring chos sde,29.3,87.23333,Mi rigs dpe skrun khang,Minzu chubanshe,Pe cin,Beijing,2004,bod kyi gso ba rig pa’i gna’ dpe phyogs bsgrigs,001,Title Page,image/jpeg,tib,Arura ©,Fair use
coll002,arura-002.jpg,Yan lag brgyad pa’i snying po btus pa yid bzhin nor bu,Yan lag brgyad pa thams cad kyi snying po btus pa yid bzhin gyi nor bu zhes bya ba bzhugs so,W15588,Byang pa rnam rgyal grags bzang,Rnam rgyal grags pa bzang po,P3893,1395,1475,https://treasuryoflives.org/biographies/view/Namgyel-Drakpa-Zangpo/TBRC_P3893,"A medical treatise based on the Āyurveda classic, the Compendium of the Essence of the Eight Branches (Aṣṭāṅgahṛdayasaṃhitā) by Vāgbhaṭa",treatise;ayurveda,ngam ring chos sde,29.3,87.23333,Mi rigs dpe skrun khang,Minzu chubanshe,Pe cin,Beijing,2004,bod kyi gso ba rig pa’i gna’ dpe phyogs bsgrigs,002,Title Page,image/jpeg,tib,Arura ©,Fair use
coll003,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,,,,,,,,,,
